Name,SiteID,Metric,1,2,3,4,5,6,7,8,9,10,11,12
South McCarran Carwash,03N,Sales,43384.87,94724.6136,54653.8298,66683.7711,59392.9708,95085.9616,89114.8226,90359.702,87770.8264,57547.2271,79352.4738,75678.2719
South McCarran Carwash,03N,Cars,5107,10829,10620,10530,10566,9730,12003,13115,13269,7819,11403,10833
South McCarran Carwash,03N,Labor,16716.13,33832.9975,19520.8281,23817.5885,21213.5174,33962.0611,31829.3363,32273.9725,31349.2982,20554.2691,28342.4967,27030.174
Thomas Road Carwash,07A,Sales,52928.4,84272.5104,86118.819,83398.7063,101935.6047,86197.0774,88530.4262,79322.4052,78769.8012,92746.1871,85418.3101,87804.3248
Thomas Road Carwash,07A,Cars,9594,14051,15465,14372,18273,14576,15737,13943,15578,13393,14031,14166
Thomas Road Carwash,07A,Labor,14213.65,16854.5021,17223.7638,16679.7413,20387.1209,17239.4155,17706.0853,15864.481,15753.9602,18549.2374,17083.662,17560.865
Thunderbird Road Carwash,15A,Sales,22497.66,42339.9045,51388.4364,52428.5695,54075.9767,55752.2616,55357.6971,54558.4674,55761.5941,56175.8744,53908.7125,47675.7364
Thunderbird Road Carwash,15A,Cars,4008,4108,5010,5110,5333,5557,5782,5854,6027,6147,6007,5443
Thunderbird Road Carwash,15A,Labor,15339.69,14818.9666,17985.9527,18349.9994,18926.5918,19513.2916,19375.194,19095.4636,19516.5579,19661.556,18868.0494,16686.5078
Torrence Avenue Carwash,x,Sales,26989.04,28240.6064,28109.9041,28130.7384,28160.4163,26958.5,26789.89,29344.02,29109.12,27445,28632.7133,28047.4011
Torrence Avenue Carwash,x,Cars,3795,3795,3795,3795,3795,3795,3795,3795,3795,3830,3830,3795
Torrence Avenue Carwash,x,Labor,16180.57,8472.1819,8432.9712,8439.2215,8448.1249,8087.55,8036.967,8803.206,8732.736,8233.5,8589.814,8414.2204
University Drive Carwash,16A,Sales,1916.37,0,0,0,32436,42030,53919,54486,62917.2,65939.34,61912.0492,66436.8591
University Drive Carwash,16A,Cars,0,0,0,0,8772,9561,9849,10137,10426,10714,11003,11291
